kod_ZSJ	Obydlené byty v bytových domech    - s teplou vodou	Obydlené byty v bytových domech - právní důvod užívání bytu: nájemní	Obydlené byty v bytových domech    - s vlastní koupelnou, sprchovým koutem	Obydlené byty v bytových domech	Obydlené byty  v bytových domech - se sníženou kvalitou	Obydlené byty v bytových domech    - s vlastním splachovacím záchodem	Obydlené byty v bytových domech    - vodovod v bytě	Obydlené byty v bytových domech - způsob vytápění: kamna
11371	268	146	267	321	9	272	278	116
11380								
11398	119	89	116	151	2	121	120	49
11401	581	547	584	613	27	586	586	
11436	1330	896	1342	1469	60	1359	1365	309
11444	448	336	450	519	29	456	459	141
11452	947	456	955	1068	42	962	963	184
11461	261	152	263	320	39	260	268	51
11479	6	5	6	19	13	6	6	
11487				7				
11495	5	5	5	6		5	5	
11509	148	121	147	173	18	148	148	12
11517	1034	574	1043	1068	25	1041	1044	
11525	1931	1027	1935	2096	130	1938	1943	82
11533	113	55	114	123	4	114	114	
11541								
11550								
11568	28	29	29	29		29	29	
11576								
11584	368	120	376	416	33	376	376	9
11592	664	393	677	700	22	677	677	2
11606	1627	518	1636	1720	78	1635	1639	
11614	888	120	892	935	24	893	895	24
11622								
11631	3		3	3		3	3	
11649	267	65	269	275	2	268	270	
11657	346	31	347	361	2	347	347	1
11665	23	4	23	26		23	23	15
11673	1	1	1	1		1	1	
11681	2	1	2	2		2	2	
11690								
11703								
11720	776	314	781	829	46	781	781	
11738								
11746								
11754	1027	186	1030	1149	118	1029	1032	
11762								
11771	291	130	293	308	11	293	293	
11789	619	298	628	658	30	628	628	
11797	2676	1286	2684	2839	147	2687	2691	
11801	3	3	3	3		3	3	1
11819								
11827	1861	830	1876	1944	64	1877	1882	
11835	152	116	153	159	6	153	153	
11843								
11851	7	1	7	8		7	7	6
11860								
11878								
11886								
11894								
11908	20	3	21	23	2	21	21	
11916	3		3	4		3	3	3
11924								
11932								
11941								
11959								
11967	1488	347	1497	1569	53	1494	1501	1
11975	2189	438	2210	2278	65	2209	2212	
11983	1744	565	1757	1830	71	1756	1761	
11991	2		2	5		2	2	2
12009	20	12	20	20		20	20	
12017	22	8	21	39	16	21	22	6
12033	3411	1371	3452	3577	113	3455	3463	
12041								
12050								
12068	136	30	136	147	3	137	137	10
12076								
12084	14	9	14	15	1	14	14	5
12092	19	9	19	23		20	20	4
12106	29	10	29	33	3	29	29	4
12114	99	16	100	107	2	101	101	11
12122								
12131								
12149	4		4	4		4	4	
12157								
12165								
12173	31	7	31	35	4	31	31	1
12190								
12203								
12211								
12220	17	5	16	24	1	16	17	2
12238								
12246	1		1	4		1	1	
12271								
12289	166	41	168	184	4	169	169	2
12301	765	461	779	821	10	777	779	38
12319								
12327	176	24	176	186	1	176	176	1
12335	61	7	61	95	14	61	61	3
12343	2286	1404	2298	2452	134	2298	2301	
12351				3				
12360	85	80	87	109	22	87	87	
12378	8	4	8	9		8	8	1
12386	4167	2543	4185	4496	281	4188	4193	1
12394								
12408	10	1	10	17	4	10	10	
12416	320	38	320	370	32	319	320	
12424								
12441								
12459								
12467								
12475								
12483	92	39	92	113	10	94	94	25
12491	83	57	81	97	2	82	84	30
12505								
12513	8	3	8	8		8	8	2
12521	5	5	5	6	1	5	5	
12530	37	11	39	40	1	39	39	2
12556	81	36	82	99	6	79	86	21
12564	240	28	246	254	7	246	246	9
12572	9	9	9	10		9	9	7
12581	2	2	2	3		2	2	1
12599								
33898								
54135	433	79	437	477	25	438	438	14
55859	44	7	44	48	2	44	44	
58203	41	1	41	43		41	41	
112682								
151912	52	10	52	61	5	51	52	1
175552	24	16	25	25		25	25	
195677	300	13	303	339	13	303	303	1
303941	6	3	6	17		6	6	
303968								
303976								
303984								
303992	2053	1093	2059	2187	116	2059	2066	1
304000	1388	726	1401	1445	43	1401	1403	
313246								
313254								
313262								
313271	998	631	1007	1044	36	1008	1007	
313289								
313297	710	399	714	794	63	715	715	1
313301	1470	917	1470	1535	55	1474	1477	
313319								
313327								
313343								
318523	117	134	116	261	86	113	141	76
318531	398	378	386	506	43	384	425	184
320790								
320803	178	83	178	198	20	178	178	
320811	94	21	95	99		95	95	1
320820	9	8	8	10		9	9	6
328600	5	5	5	6	1	5	5	
328618	1820	536	1834	1946	108	1837	1838	
328626	1686	734	1698	1771	56	1697	1699	
328634	209	47	211	231	14	211	212	
328642								
